bgc_id	compound	tax_id	strain	species	genus	family	order	class	phylum	clade	superkingdom	species group	section	suborder	subclass	subphylum	subkingdom	kingdom	subgenus	subspecies	species subgroup	subfamily	varietas	serotype	tribe	subtribe
BGC0000002	aculeximycin	1449976	Kutzneria albida DSM 43870	Kutzneria albida	Kutzneria	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000003	AF-toxin	5599		Alternaria alternata	Alternaria	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota	Alternaria alternata complex	Alternaria sect. Alternaria	Pleosporineae	Pleosporomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000004	aflatoxin G1	5062		Aspergillus oryzae	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Circumdati							
BGC0000006	aflatoxin	5059		Aspergillus flavus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Circumdati							
BGC0000007	aflatoxin	5059		Aspergillus flavus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Circumdati							
BGC0000008	aflatoxin	5059		Aspergillus flavus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Circumdati							
BGC0000009	aflatoxin	41061		Aspergillus nomiae	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000010	aflatoxin	5059		Aspergillus flavus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Circumdati							
BGC0000011	sterigmatocystin	138278		Aspergillus ochraceoroseus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Nidulantes							
BGC0000012	alternapyrone	48100		Alternaria solani	Alternaria	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota		Alternaria sect. Porri	Pleosporineae	Pleosporomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000013	alternariol	227321	Aspergillus nidulans FGSC A4	Aspergillus nidulans	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Nidulantes							
BGC0000014	ambruticin	56		Sorangium cellulosum	Sorangium	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria		Bacteria			Sorangiineae		delta/epsilon subdivisions										
BGC0000017	anatoxin-a	272129		Kamptonema sp. PCC 6506	Kamptonema	Microcoleaceae	Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				Oscillatoriophycideae											
BGC0000018	angolamycin	42237		Streptomyces eurythermus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000019	angolamycin	42237		Streptomyces eurythermus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000020	maytansine	42198		Actinosynnema pretiosum	Actinosynnema	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria									Actinosynnema pretiosum subsp. auranticum						
BGC0000021	apoptolidin	1090954		Amycolatopsis sp. FU40	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000022	asperfuranone	227321	Aspergillus nidulans FGSC A4	Aspergillus nidulans	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Nidulantes							
BGC0000023	aurafuron A	378806	Stigmatella aurantiaca DW4/3-1	Stigmatella aurantiaca	Stigmatella	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria		Bacteria			Cystobacterineae		delta/epsilon subdivisions										
BGC0000024	aureothin	66431		Streptomyces thioluteus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000026	avilamycin A	1160705	Streptomyces viridochromogenes Tue57	Streptomyces viridochromogenes	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000027	ankaflavin	89488		Monascus pilosus	Monascus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000028	bafilomycin B1	390239		Streptomyces lohii	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000029	BE-14106	639005		Streptomyces sp. DSM 21069	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000030	bikaverin	1279085	Fusarium fujikuroi IMI 58289	Fusarium fujikuroi	Fusarium	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota	Fusarium fujikuroi species complex			Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000031	borrelidin	146923		Streptomyces parvulus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000032	A23187	1079985	Streptomyces chartreusis NRRL 3882	Streptomyces chartreusis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000033	calicheamicin	1877		Micromonospora echinospora	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000034	candicidin	206662		Streptomyces sp. FR-008	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000035	chalcomycin A	1896		Streptomyces bikiniensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000036	chlorothricin	1890		Streptomyces antibioticus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000037	cichorine	227321	Aspergillus nidulans FGSC A4	Aspergillus nidulans	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Nidulantes							
BGC0000038	coelimycin P1	100226	Streptomyces coelicolor A3(2)	Streptomyces coelicolor	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces albidoflavus group														
BGC0000039	compactin	5077		Penicillium citrinum	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000040	concanamycin A	42238		Streptomyces neyagawaensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000041	oronofacic acid	317		Pseudomonas syringae	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	Pseudomonas syringae group									Pseudomonas syringae group genomosp. 1					
BGC0000042	cremimycin	1321967		Streptomyces sp. MJ635-86F5	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000043	curacin A	276768	Moorena producens 19L	Moorena producens	Moorena	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria				Oscillatoriophycideae											
BGC0000044	dawenol	378806	Stigmatella aurantiaca DW4/3-1	Stigmatella aurantiaca	Stigmatella	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria		Bacteria			Cystobacterineae		delta/epsilon subdivisions										
BGC0000045	dehydrocurvularin	33178		Aspergillus terreus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Circumdati							
BGC0000046	depudecin	29001		Alternaria brassicicola	Alternaria	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota		Alternaria sect. Brassicicola	Pleosporineae	Pleosporomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000047	10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin	201500		Streptomyces sp. KCTC 0041BP	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000048	dothistromin	64363		Dothistroma septosporum	Dothistroma	Mycosphaerellaceae	Mycosphaerellales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota				Dothideomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000050	E-837	270689		Streptomyces aculeolatus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000051	ebelactone A	67265		Kitasatospora aburaviensis	Kitasatospora	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000052	ECO-02301	255848		Streptomyces aizunensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000053	elaiophylin	12908																								
BGC0000054	erythromycin	2041		Aeromicrobium erythreum	Aeromicrobium	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000055	erythromycin A	405948	Saccharopolyspora erythraea NRRL 2338	Saccharopolyspora erythraea	Saccharopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000056	esperamicin	46165		Actinomadura verrucosospora	Actinomadura	Thermomonosporaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000057	F9775A	227321	Aspergillus nidulans FGSC A4	Aspergillus nidulans	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Nidulantes							
BGC0000058	FD-891	68212		Streptomyces graminofaciens	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces griseus group									Streptomyces halstedii subgroup					
BGC0000059	filipin	227882	Streptomyces avermitilis MA-4680 = NBRC 14893	Streptomyces avermitilis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000060	fostriecin	68258		Streptomyces pulveraceus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000062	fumonisin B1	117187		Fusarium verticillioides	Fusarium	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota	Fusarium fujikuroi species complex			Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000063	fumonisin	5507		Fusarium oxysporum	Fusarium	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota	Fusarium oxysporum species complex			Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000064	fusarin	117187		Fusarium verticillioides	Fusarium	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota	Fusarium fujikuroi species complex			Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000065	rustmicin	33898		Streptomyces galbus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000066	geldanamycin	1912		Streptomyces hygroscopicus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces violaceusniger group														
BGC0000067	geldanamycin	285527		Streptomyces hygroscopicus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces violaceusniger group								Streptomyces hygroscopicus subsp. duamyceticus						
BGC0000068	geldanamycin	1912		Streptomyces hygroscopicus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces violaceusniger group														
BGC0000069	gephyronic acid	1406225	Archangium violaceum Cb vi76	Archangium violaceum	Archangium	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria		Bacteria			Cystobacterineae		delta/epsilon subdivisions										
BGC0000070	griseofulvin	36650		Penicillium aethiopicum	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000072	gulmirecin A	394095		Pyxidicoccus fallax	Pyxidicoccus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria		Bacteria			Cystobacterineae		delta/epsilon subdivisions										
BGC0000073	halstoctacosanolide A	1944		Streptomyces halstedii	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces griseus group									Streptomyces halstedii subgroup					
BGC0000074	herbimycin A	1912		Streptomyces hygroscopicus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces violaceusniger group														
BGC0000075	hygrocin A	1245024		Streptomyces sp. LZ35	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000076	hypothemycin	193393		Hypomyces subiculosus	Hypomyces	Hypocreaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota				Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000077	hypothemycin	193393		Hypomyces subiculosus	Hypomyces	Hypocreaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota				Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000078	incednine	1265536		Streptomyces sp. ML694-90F3	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000079	X-14547	1890		Streptomyces antibioticus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000080	jerangolid A	56		Sorangium cellulosum	Sorangium	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria		Bacteria			Sorangiineae		delta/epsilon subdivisions										
BGC0000081	kedarcidin	756733		Streptoalloteichus sp. ATCC 53650	Streptoalloteichus	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000082	kijanimicin	46161		Actinomadura kijaniata	Actinomadura	Thermomonosporaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000083	lactimidomycin	221586		Streptomyces amphibiosporus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000084	laidlomycin	272618		Streptomyces sp. CS684	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000085	lankamycin	1928		Streptomyces rochei	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces rochei group														
BGC0000086	lasalocid	324833		Streptomyces lasalocidi	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000087	lasalocid	324833		Streptomyces lasalocidi	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000088	monacolin K	33178		Aspergillus terreus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Circumdati							
BGC0000090	macbecin	103721		Actinosynnema pretiosum	Actinosynnema	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria									Actinosynnema pretiosum subsp. pretiosum						
BGC0000091	marineosin A	483421		Streptomyces sp. CNQ-617	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000092	megalomicin A	136926		Micromonospora megalomicea	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria									Micromonospora megalomicea subsp. nigra						
BGC0000093	meilingmycin	204925		Streptomyces nanchangensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000094	methymycin	54571		Streptomyces venezuelae	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000096	midecamycin	1949		Streptomyces mycarofaciens	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000097	ML-449	639006		Streptomyces sp. MP39-85	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000098	monacolin K	89488		Monascus pilosus	Monascus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000099	monascorubrin	37727		Talaromyces marneffei	Talaromyces	Trichocomaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota		Talaromyces sect. Talaromyces		Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000100	monensin	1900		Streptomyces virginiae	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000102	mycinamicin II	28040		Micromonospora griseorubida	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000103	mycolactone B	362242	Mycobacterium ulcerans Agy99	Mycobacterium ulcerans	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Mycobacterium ulcerans group														
BGC0000104	mycophenolic acid	5074		Penicillium brevicompactum	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000105	nanchangmycin	204925		Streptomyces nanchangensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000106	naphthomycin A	876169		Streptomyces sp. CS	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000107	naphthopyrone	227321	Aspergillus nidulans FGSC A4	Aspergillus nidulans	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Nidulantes							
BGC0000108	natamycin	66876		Streptomyces chattanoogensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000110	spectinabilin	67339		Streptomyces orinoci	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000111	neocarzilin A	1897		Streptomyces carzinostaticus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000112	neocarzinostatin	167636		Streptomyces carzinostaticus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria									Streptomyces carzinostaticus subsp. neocarzinostaticus						
BGC0000113	niddamycin	36816		Streptomyces caelestis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000114	nigericin	68280		Streptomyces violaceusniger	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces violaceusniger group														
BGC0000115	nystatin A1	316284	Streptomyces noursei ATCC 11455	Streptomyces noursei	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000116	nystatin-like Pseudonocardia polyene	2074		Pseudonocardia autotrophica	Pseudonocardia	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000117	oligomycin	33903		Streptomyces avermitilis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000118	pactamycin	68249		Streptomyces pactum	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000119	7-deoxypactamycin	68249		Streptomyces pactum	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000120	patulin	27334		Penicillium expansum	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000122	phenylnannolone A	889268		Nannocystis pusilla	Nannocystis	Nannocystaceae	Myxococcales	Deltaproteobacteria	Proteobacteria		Bacteria			Nannocystineae		delta/epsilon subdivisions										
BGC0000123	phoslactomycin B	244967		Streptomyces sp. HK803	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000124	piericidin A1	285508		Streptomyces piomogenus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000125	pimaricin	68242		Streptomyces natalensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000126	pladienolide B	58346		Streptomyces platensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000127	pyoluteorin	220664	Pseudomonas protegens Pf-5	Pseudomonas protegens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	Pseudomonas fluorescens group														
BGC0000128	pyoluteorin	228095		Pseudomonas sp. M18	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria															
BGC0000129	pyripyropene A	330879	Aspergillus fumigatus Af293	Aspergillus fumigatus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Fumigati							
BGC0000130	pyrrolomycin A	76728		Wenjunlia vitaminophila	Wenjunlia	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000131	pyrrolomycin	428401		Streptomyces sp. UC 11065	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000132	pyrrolomycin	428401		Streptomyces sp. UC 11065	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000133	quartromicin A1	31958		Amycolatopsis orientalis	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000134	radicicol	280754		Pochonia chlamydosporia	Pochonia	Clavicipitaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota				Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000135	reveromycin A	659352		Streptomyces sp. SN-593	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000136	rifamycin	713604	Amycolatopsis mediterranei S699	Amycolatopsis mediterranei	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000137	rifamycin	391037	Salinispora arenicola CNS-205	Salinispora arenicola	Salinispora	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000138	rimocidin	1956		Streptomyces diastaticus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces diastaticus group														
BGC0000140	4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	697274		Streptomyces sp. 88-682	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000141	rubradirin	285531		Streptomyces rubradiris	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000142	salinilactam	369723	Salinispora tropica CNB-440	Salinispora tropica	Salinispora	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000143	salinomycin	1888		Streptomyces albus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000144	salinomycin	1888		Streptomyces albus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000145	salinosporamide A	168695		Salinispora tropica	Salinispora	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0000146	solanapyrone D	48100		Alternaria solani	Alternaria	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota		Alternaria sect. Porri	Pleosporineae	Pleosporomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0000147	soraphen A	56		Sorangium cellulosum	Sorangium	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria		Bacteria			Sorangiineae		delta/epsilon subdivisions										
BGC0000148	A83543A	60894		Saccharopolyspora spinosa	Saccharopolyspora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
